Whichyear,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight,feelingrightnow
4th year,97,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,10,Very good
4th year,65,Male,23,Playground,Single,Yes,5,Normal,No,Yes,No,Friends,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,73,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9,Good
4th year,45,Male,23,Department,Single,No,2,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,No,No,5,Bad
4th year,16,Male,23,Home,Single,No,1,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3,Very bad
4th year,99,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10,Very good
4th year,14,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,No,Neutral,No,Yes,3,Very bad
4th year,71,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10,Good
4th year,92,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,27,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,Yes,4,Bad
4th year,3,Male,23,Playground,Single,No,1,Good,Yes,Yes,No,Friends,Yes,No,No,No,No,7,Very bad
4th year,2,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,No,Neutral,Yes,No,4,Very bad
4th year,95,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,93,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,53,Male,23,Hall-Mess,Single,No,3,Normal,No,Yes,No,Family,Yes,Maybe,Yes,Yes,No,6,Normal
4th year,51,Male,23,Department,Single,Yes,5,Normal,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10,Very good
