Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Very good,97,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,9
4th year,Very bad,1,Male,23,Playground,Single,No,3,Normal,Yes,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,6
4th year,Very bad,1,Male,23,Department,Single,Yes,3,Bad,Yes,No,Yes,Family,Yes,No,Neutral,Yes,Yes,5
4th year,Normal,50,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,No,8
4th year,Very good,99,Male,23,Playground,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
4th year,Bad,31,Male,23,Playground,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,Yes,No,Yes,3
4th year,Good,81,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
4th year,Normal,65,Male,23,Home,Single,No,4,Good,No,Yes,No,Family,Yes,Maybe,Neutral,No,Yes,6
4th year,Very bad,11,Male,23,Department,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Maybe,No,Yes,Yes,6
4th year,Normal,58,Male,23,Hall-Mess,Single,No,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,8
4th year,Bad,38,Male,23,Hall-Mess,Single,No,2,Bad,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,3
4th year,Very good,93,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,Normal,52,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Friends,Yes,No,Neutral,No,No,6
4th year,Very good,97,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,Very good,92,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,10
4th year,Very bad,18,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Neutral,No,No,7
4th year,Good,72,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,Good,73,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,Very good,94,Male,23,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,9
4th year,Bad,27,Male,23,Home,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,Yes,No,5
4th year,Good,79,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,8
4th year,Good,87,Male,23,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,Very bad,18,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,No,Yes,No,No,4
4th year,Normal,69,Male,23,Department,Single,No,3,Good,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,6
4th year,Very good,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,Very good,95,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Very good,92,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
